"","fullperiod","counttime","date"
"159",159,591,2012-06-08 01:00:00
"160",160,469,2012-06-09 01:00:00
"161",161,377,2012-06-10 01:00:00
"162",162,598,2012-06-11 01:00:00
"163",163,714,2012-06-12 01:00:00
"164",164,532,2012-06-13 01:00:00
"165",165,734,2012-06-14 01:00:00
"166",166,1486,2012-06-15 01:00:00
"167",167,579,2012-06-16 01:00:00
"168",168,549,2012-06-17 01:00:00
"169",169,595,2012-06-18 01:00:00
"170",170,739,2012-06-19 01:00:00
"171",171,1586,2012-06-20 01:00:00
"172",172,700,2012-06-21 01:00:00
"173",173,643,2012-06-22 01:00:00
"174",174,480,2012-06-23 01:00:00
"175",175,469,2012-06-24 01:00:00
"176",176,686,2012-06-25 01:00:00
"177",177,736,2012-06-26 01:00:00
"178",178,591,2012-06-27 01:00:00
"179",179,2407,2012-06-28 01:00:00
"180",180,705,2012-06-29 01:00:00
"181",181,468,2012-06-30 01:00:00
"182",182,667,2012-07-01 01:00:00
"183",183,577,2012-07-02 01:00:00
"184",184,600,2012-07-03 01:00:00
"185",185,499,2012-07-04 01:00:00
"186",186,872,2012-07-05 01:00:00
"187",187,946,2012-07-06 01:00:00
"188",188,498,2012-07-07 01:00:00
"189",189,657,2012-07-08 01:00:00
"190",190,850,2012-07-09 01:00:00
"191",191,849,2012-07-10 01:00:00
"192",192,1017,2012-07-11 01:00:00
"193",193,946,2012-07-12 01:00:00
"194",194,983,2012-07-13 01:00:00
"195",195,763,2012-07-14 01:00:00
"196",196,733,2012-07-15 01:00:00
"197",197,1323,2012-07-16 01:00:00
"198",198,1336,2012-07-17 01:00:00
"199",199,1073,2012-07-18 01:00:00
"200",200,1003,2012-07-19 01:00:00
"201",201,482,2012-07-20 01:00:00
"202",202,440,2012-07-21 01:00:00
"203",203,496,2012-07-22 01:00:00
"204",204,659,2012-07-23 01:00:00
"205",205,896,2012-07-24 01:00:00
"206",206,803,2012-07-25 01:00:00
"207",207,617,2012-07-26 01:00:00
"208",208,670,2012-07-27 01:00:00
"209",209,488,2012-07-28 01:00:00
"210",210,582,2012-07-29 01:00:00
"211",211,725,2012-07-30 01:00:00
"212",212,1027,2012-07-31 01:00:00
"213",213,798,2012-08-01 01:00:00
"214",214,769,2012-08-02 01:00:00
"215",215,684,2012-08-03 01:00:00
"216",216,504,2012-08-04 01:00:00
"217",217,553,2012-08-05 01:00:00
"218",218,819,2012-08-06 01:00:00
"219",219,1093,2012-08-07 01:00:00
"220",220,1169,2012-08-08 01:00:00
"221",221,1110,2012-08-09 01:00:00
"222",222,1314,2012-08-10 01:00:00
"223",223,3399,2012-08-11 01:00:00
"224",224,2139,2012-08-12 01:00:00
"225",225,1552,2012-08-13 01:00:00
"226",226,1462,2012-08-14 01:00:00
"227",227,1067,2012-08-15 01:00:00
"228",228,870,2012-08-16 01:00:00
"229",229,716,2012-08-17 01:00:00
"230",230,703,2012-08-18 01:00:00
"231",231,652,2012-08-19 01:00:00
"232",232,1030,2012-08-20 01:00:00
"233",233,1119,2012-08-21 01:00:00
"234",234,1104,2012-08-22 01:00:00
"235",235,1028,2012-08-23 01:00:00
"236",236,1107,2012-08-24 01:00:00
"237",237,888,2012-08-25 01:00:00
"238",238,848,2012-08-26 01:00:00
"239",239,1213,2012-08-27 01:00:00
"240",240,2183,2012-08-28 01:00:00
"241",241,2454,2012-08-29 01:00:00
"242",242,2613,2012-08-30 01:00:00
"243",243,1344,2012-08-31 01:00:00
"244",244,1234,2012-09-01 01:00:00
"245",245,1118,2012-09-02 01:00:00
"246",246,1400,2012-09-03 01:00:00
"247",247,2187,2012-09-04 01:00:00
"248",248,2384,2012-09-05 01:00:00
"249",249,2625,2012-09-06 01:00:00
"250",250,1258,2012-09-07 01:00:00
"251",251,872,2012-09-08 01:00:00
"252",252,912,2012-09-09 01:00:00
"253",253,1127,2012-09-10 01:00:00
"254",254,1511,2012-09-11 01:00:00
"255",255,3130,2012-09-12 01:00:00
"256",256,2130,2012-09-13 01:00:00
"257",257,1897,2012-09-14 01:00:00
"258",258,1255,2012-09-15 01:00:00
"259",259,1095,2012-09-16 01:00:00
