"","fullperiod","counttime","date"
"160",160,242,2012-06-09 01:00:00
"161",161,216,2012-06-10 01:00:00
"162",162,509,2012-06-11 01:00:00
"163",163,421,2012-06-12 01:00:00
"164",164,395,2012-06-13 01:00:00
"165",165,452,2012-06-14 01:00:00
"166",166,486,2012-06-15 01:00:00
"167",167,324,2012-06-16 01:00:00
"168",168,361,2012-06-17 01:00:00
"169",169,317,2012-06-18 01:00:00
"170",170,334,2012-06-19 01:00:00
"171",171,423,2012-06-20 01:00:00
"172",172,343,2012-06-21 01:00:00
"173",173,400,2012-06-22 01:00:00
"174",174,221,2012-06-23 01:00:00
"175",175,227,2012-06-24 01:00:00
"176",176,298,2012-06-25 01:00:00
"177",177,374,2012-06-26 01:00:00
"178",178,377,2012-06-27 01:00:00
"179",179,673,2012-06-28 01:00:00
"180",180,375,2012-06-29 01:00:00
"181",181,218,2012-06-30 01:00:00
"182",182,249,2012-07-01 01:00:00
"183",183,379,2012-07-02 01:00:00
"184",184,395,2012-07-03 01:00:00
"185",185,257,2012-07-04 01:00:00
"186",186,355,2012-07-05 01:00:00
"187",187,408,2012-07-06 01:00:00
"188",188,191,2012-07-07 01:00:00
"189",189,307,2012-07-08 01:00:00
"190",190,438,2012-07-09 01:00:00
"191",191,459,2012-07-10 01:00:00
"192",192,672,2012-07-11 01:00:00
"193",193,647,2012-07-12 01:00:00
"194",194,632,2012-07-13 01:00:00
"195",195,417,2012-07-14 01:00:00
"196",196,434,2012-07-15 01:00:00
"197",197,546,2012-07-16 01:00:00
"198",198,531,2012-07-17 01:00:00
"199",199,421,2012-07-18 01:00:00
"200",200,587,2012-07-19 01:00:00
"201",201,254,2012-07-20 01:00:00
"202",202,247,2012-07-21 01:00:00
"203",203,241,2012-07-22 01:00:00
"204",204,350,2012-07-23 01:00:00
"205",205,548,2012-07-24 01:00:00
"206",206,515,2012-07-25 01:00:00
"207",207,536,2012-07-26 01:00:00
"208",208,417,2012-07-27 01:00:00
"209",209,309,2012-07-28 01:00:00
"210",210,416,2012-07-29 01:00:00
"211",211,483,2012-07-30 01:00:00
"212",212,546,2012-07-31 01:00:00
"213",213,453,2012-08-01 01:00:00
"214",214,484,2012-08-02 01:00:00
"215",215,434,2012-08-03 01:00:00
"216",216,444,2012-08-04 01:00:00
"217",217,342,2012-08-05 01:00:00
"218",218,449,2012-08-06 01:00:00
"219",219,439,2012-08-07 01:00:00
"220",220,535,2012-08-08 01:00:00
"221",221,488,2012-08-09 01:00:00
"222",222,589,2012-08-10 01:00:00
"223",223,1962,2012-08-11 01:00:00
"224",224,1039,2012-08-12 01:00:00
"225",225,922,2012-08-13 01:00:00
"226",226,745,2012-08-14 01:00:00
"227",227,622,2012-08-15 01:00:00
"228",228,557,2012-08-16 01:00:00
"229",229,554,2012-08-17 01:00:00
"230",230,350,2012-08-18 01:00:00
"231",231,486,2012-08-19 01:00:00
"232",232,779,2012-08-20 01:00:00
"233",233,754,2012-08-21 01:00:00
"234",234,653,2012-08-22 01:00:00
"235",235,591,2012-08-23 01:00:00
"236",236,732,2012-08-24 01:00:00
"237",237,448,2012-08-25 01:00:00
"238",238,474,2012-08-26 01:00:00
"239",239,735,2012-08-27 01:00:00
"240",240,1031,2012-08-28 01:00:00
"241",241,1084,2012-08-29 01:00:00
"242",242,1313,2012-08-30 01:00:00
"243",243,764,2012-08-31 01:00:00
"244",244,563,2012-09-01 01:00:00
"245",245,513,2012-09-02 01:00:00
"246",246,886,2012-09-03 01:00:00
"247",247,1458,2012-09-04 01:00:00
"248",248,1778,2012-09-05 01:00:00
"249",249,2013,2012-09-06 01:00:00
"250",250,883,2012-09-07 01:00:00
"251",251,660,2012-09-08 01:00:00
"252",252,786,2012-09-09 01:00:00
"253",253,763,2012-09-10 01:00:00
"254",254,533,2012-09-11 01:00:00
"255",255,1146,2012-09-12 01:00:00
"256",256,919,2012-09-13 01:00:00
"257",257,817,2012-09-14 01:00:00
"258",258,579,2012-09-15 01:00:00
"259",259,519,2012-09-16 01:00:00
"260",260,1152,2012-09-17 01:00:00
"261",261,976,2012-09-18 01:00:00
"262",262,972,2012-09-19 01:00:00
"263",263,923,2012-09-20 01:00:00
"264",264,812,2012-09-21 01:00:00
"265",265,675,2012-09-22 01:00:00
"266",266,586,2012-09-23 01:00:00
"267",267,727,2012-09-24 01:00:00
"268",268,706,2012-09-25 01:00:00
"269",269,708,2012-09-26 01:00:00
"270",270,622,2012-09-27 01:00:00
"271",271,587,2012-09-28 01:00:00
"272",272,363,2012-09-29 01:00:00
"273",273,509,2012-09-30 01:00:00
"274",274,632,2012-10-01 01:00:00
"275",275,682,2012-10-02 01:00:00
"276",276,2522,2012-10-03 01:00:00
"277",277,1482,2012-10-04 01:00:00
"278",278,705,2012-10-05 01:00:00
"279",279,537,2012-10-06 01:00:00
"280",280,485,2012-10-07 01:00:00
"281",281,784,2012-10-08 01:00:00
"282",282,714,2012-10-09 01:00:00
"283",283,748,2012-10-10 01:00:00
"284",284,1771,2012-10-11 01:00:00
"285",285,870,2012-10-12 01:00:00
"286",286,570,2012-10-13 01:00:00
"287",287,700,2012-10-14 01:00:00
"288",288,698,2012-10-15 01:00:00
"289",289,2561,2012-10-16 01:00:00
"290",290,1205,2012-10-17 01:00:00
"291",291,1098,2012-10-18 01:00:00
"292",292,935,2012-10-19 01:00:00
"293",293,669,2012-10-20 01:00:00
"294",294,776,2012-10-21 01:00:00
"295",295,2841,2012-10-22 01:00:00
"296",296,1170,2012-10-23 01:00:00
"297",297,1169,2012-10-24 01:00:00
"298",298,1053,2012-10-25 01:00:00
"299",299,986,2012-10-26 01:00:00
"300",300,780,2012-10-27 01:00:00
"301",301,871,2012-10-28 01:00:00
"302",302,1001,2012-10-29 01:00:00
"303",303,1221,2012-10-30 01:00:00
"304",304,985,2012-10-31 01:00:00
"305",305,1039,2012-11-01 01:00:00
"306",306,931,2012-11-02 01:00:00
"307",307,973,2012-11-03 01:00:00
"308",308,1191,2012-11-04 01:00:00
"309",309,1217,2012-11-05 00:00:00
"310",310,0,2012-11-06 00:00:00
"311",311,0,2012-11-07 00:00:00
"312",312,0,2012-11-08 00:00:00
"313",313,0,2012-11-09 00:00:00
"314",314,0,2012-11-10 00:00:00
"315",315,0,2012-11-11 00:00:00
"316",316,0,2012-11-12 00:00:00
"317",317,0,2012-11-13 00:00:00
"318",318,0,2012-11-14 00:00:00
"319",319,0,2012-11-15 00:00:00
"320",320,0,2012-11-16 00:00:00
"321",321,0,2012-11-17 00:00:00
"322",322,0,2012-11-18 00:00:00
"323",323,0,2012-11-19 00:00:00
"324",324,0,2012-11-20 00:00:00
"325",325,0,2012-11-21 00:00:00
"326",326,0,2012-11-22 00:00:00
"327",327,0,2012-11-23 00:00:00
"328",328,0,2012-11-24 00:00:00
"329",329,0,2012-11-25 00:00:00
"330",330,0,2012-11-26 00:00:00
"331",331,0,2012-11-27 00:00:00
"332",332,0,2012-11-28 00:00:00
"333",333,0,2012-11-29 00:00:00
"334",334,0,2012-11-30 00:00:00
"335",335,0,2012-12-01 00:00:00
"336",336,0,2012-12-02 00:00:00
"337",337,0,2012-12-03 00:00:00
"338",338,0,2012-12-04 00:00:00
"339",339,0,2012-12-05 00:00:00
"340",340,0,2012-12-06 00:00:00
"341",341,0,2012-12-07 00:00:00
"342",342,0,2012-12-08 00:00:00
"343",343,0,2012-12-09 00:00:00
"344",344,0,2012-12-10 00:00:00
"345",345,0,2012-12-11 00:00:00
"346",346,0,2012-12-12 00:00:00
"347",347,0,2012-12-13 00:00:00
"348",348,0,2012-12-14 00:00:00
"349",349,0,2012-12-15 00:00:00
"350",350,0,2012-12-16 00:00:00
"351",351,0,2012-12-17 00:00:00
"352",352,0,2012-12-18 00:00:00
"353",353,0,2012-12-19 00:00:00
"354",354,0,2012-12-20 00:00:00
"355",355,0,2012-12-21 00:00:00
"356",356,0,2012-12-22 00:00:00
"357",357,0,2012-12-23 00:00:00
"358",358,0,2012-12-24 00:00:00
"359",359,0,2012-12-25 00:00:00
"360",360,0,2012-12-26 00:00:00
"361",361,0,2012-12-27 00:00:00
"362",362,0,2012-12-28 00:00:00
"363",363,0,2012-12-29 00:00:00
"364",364,0,2012-12-30 00:00:00
"365",365,0,2012-12-31 00:00:00
